"Timestamp","Occupation","Age","Gender","State","image_5299","image_5399","image_994","image_1143","image_1167","image_1268","image_1266"
"2021/03/22 1:55:06 PM GMT+5:30","Student","16","Female","Chandigarh UT","Like","Like","Dislike","Dislike","Like","Dislike","Dislike"
"2021/03/22 2:10:17 PM GMT+5:30","student","15","Female","punjab","Like","Like","Like","Like","Dislike","Dislike","Like"
"2021/03/22 2:10:51 PM GMT+5:30","Student","16","Female","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 2:22:06 PM GMT+5:30","","","","","Like","Like","Dislike","Dislike","Like","Like","Like"
"2021/03/22 3:11:52 PM GMT+5:30","Student","17","Female","Punjab ","Like","Like","Like","Dislike","Dislike","Dislike","Like"
"2021/03/22 5:18:16 PM GMT+5:30","Student ","16","Female","Punjab ","Like","Like","Like","Dislike","Dislike","Like","Dislike"
"2021/03/22 7:01:03 PM GMT+5:30","Professional","44","Female","Maharashtra ","Like","Like","Like","Like","Dislike","Dislike","Dislike"
"2021/03/22 7:14:30 PM GMT+5:30","Teachee","47","Female","Chandigarh","Like","Like","Like","Like","Dislike","Dislike","Dislike"
"2021/03/22 8:34:08 PM GMT+5:30","Employer ","23","Male","Uttar Pradesh ","Dislike","Like","Like","Dislike","Like","Like","Dislike"
"2021/03/22 8:38:47 PM GMT+5:30","Fashion designer","27","Female","Himachal pradesh","Like","Dislike","Dislike","Like","Like","Like","Dislike"
"2021/03/22 10:55:25 PM GMT+5:30","School","15","Female","","","","","Like","Like","Like",""
"2021/03/22 11:55:05 PM GMT+5:30","homosapien","older than the universe","Male","Good","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Like"
"2021/03/23 12:02:06 AM GMT+5:30","Student","19","Female","Punjab","Like","Dislike","Like","Like","Like","Like","Like"
"2021/03/23 3:30:40 PM GMT+5:30","Student ","16","Female","Mohali (Punjab) ","Like","Dislike","Like","Like","Dislike","Like","Like"
