"Timestamp","Occupation","Age","Gender","State","image_2313","image_3180","image_3565","image_4099","image_4100","image_4171","image_4105","image_1481","image_2957","image_3382","image_4114","image_4266","image_2770","image_4627","image_3424","image_3994","image_3275","image_4400","image_2503","image_2174"
"2021/04/04 6:21:58 PM GMT+5:30","Software","22","Male","","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Like","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Like","Dislike","Dislike","Dislike"
"2021/04/04 6:30:33 PM GMT+5:30","Student","22","Male","Maharashtra","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like"
"2021/04/04 8:22:26 PM GMT+5:30","Homo sapien","Older than this universe","Male","Healthy mental state","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like"
"2021/04/04 9:39:04 PM GMT+5:30","Student","22","Female","Chandigarh","Dislike","","Dislike","Like","","Like","","","Dislike","Dislike","Like","Dislike","Dislike","Like","Like","Like","Like","Like","Like","Dislike"
"2021/04/04 11:39:21 PM GMT+5:30","Student ","19","Female","Punjab","Dislike","Dislike","Dislike","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Dislike","Dislike","Like","Dislike","Like","Dislike"
"2021/04/05 11:27:34 AM GMT+5:30","12th ","19","Male","punjab","Like","Dislike","Like","Like","Dislike","Like","Dislike","Like","Dislike","Like","Like","Dislike","Like","Dislike","Like","Dislike","Dislike","Like","Like","Like"
"2021/04/19 1:52:52 PM GMT+5:30","Student","19","Male","Good work","Like","Dislike","Like","Like","Like","Like","Like","Dislike","Dislike","Like","Dislike","Like","Like","Dislike","Like","Like","Like","Like","Like","Like"
"2021/04/19 1:54:20 PM GMT+5:30","Student","19","Male","Up","Like","Dislike","Like","Dislike","Dislike","Dislike","Like","Dislike","Like","Like","Like","Dislike","Like","Dislike","Dislike","Dislike","Like","Like","Dislike","Dislike"
"2021/04/19 1:56:17 PM GMT+5:30","Student","21","Female","Telangana","Dislike","Like","Dislike","Like","Dislike","Like","Dislike","Like","Dislike","Like","Dislike","Like","Dislike","Like","Like","Like","Dislike","Like","Dislike","Like"
"2021/04/19 1:56:27 PM GMT+5:30","student","20","Male","uttar pradesh","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Like","Like","Dislike","Dislike","Like","Dislike","Like","Dislike","Dislike","Like","Dislike","Dislike"
"2021/04/19 1:57:19 PM GMT+5:30","Student","19","Female","Haryana","Dislike","Dislike","Like","Like","Dislike","Like","Dislike","Like","Dislike","Dislike","Like","Dislike","Like","Like","Like","Dislike","Dislike","Like","Like","Like"
"2021/04/19 1:58:11 PM GMT+5:30","Student","18","Male","Haryana","Like","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Dislike"
"2021/04/19 2:05:17 PM GMT+5:30","Student","19","Male","Uttarakhand","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/04/19 2:05:29 PM GMT+5:30","Student","19","Male","Punjab","Like","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Like"
"2021/04/19 2:20:06 PM GMT+5:30","Student","19","Male","Telangana","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like"
"2021/04/19 2:21:49 PM GMT+5:30","School","14","Female","Punjab","Like","Like","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Dislike","Like","Like","Like"
"2021/04/19 2:22:13 PM GMT+5:30","Broke","15","Female","California ","Like","Like","Like","Like","Dislike","Like","Like","Dislike","Like","Like","Dislike","Like","Dislike","Like","Like","Like","Like","Like","Like","Like"
"2021/04/19 2:22:17 PM GMT+5:30","Student","20","Female","Uttar Pradesh","Dislike","Dislike","Like","Like","Like","Like","Like","Dislike","Like","Like","Dislike","Dislike","Like","Dislike","Like","Dislike","Like","Like","Dislike","Like"
"2021/04/19 2:24:37 PM GMT+5:30","Student","20","Female","Uttar Pradesh","","","","","Dislike","Like","","","","","","","","","","","","","",""
"2021/04/19 2:24:55 PM GMT+5:30","Student","22","Male","Bihar","Dislike","Like","Like","Like","Dislike","Like","Like","Like","Like","Dislike","Like","Dislike","Like","Like","Dislike","Like","Like","Like","Dislike","Like"
"2021/04/19 2:27:44 PM GMT+5:30","Student","20","Male","Haryana","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like"
"2021/04/19 2:30:09 PM GMT+5:30","Student ","20","Male","Punjab","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Like","Dislike","Dislike","Dislike","Dislike"
"2021/04/19 2:32:55 PM GMT+5:30","Tera baap","20","Male","Happy","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Dislike","Dislike"
"2021/04/19 2:33:15 PM GMT+5:30","Student","20","Male","Karnataka","Dislike","Like","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Like","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Like"
"2021/04/19 2:37:50 PM GMT+5:30","Student","20","Female","Punjab","Dislike","Dislike","Like","Dislike","Dislike","Like","Like","Dislike","Like","Like","Dislike","Like","Like","Like","Like","Dislike","Like","Like","Like","Dislike"
"2021/04/19 2:40:34 PM GMT+5:30","Engineer","21","Male","Uttarakhand","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","","Like","Like","Like"
"2021/04/19 2:55:26 PM GMT+5:30","Teacher","35","Female","Punjab","Dislike","Like","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Like"
"2021/04/19 2:56:31 PM GMT+5:30","Student ","20","Male","Himachal Pradesh","Like","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Dislike","Dislike","Like","Like","Like","Like","Like","Like","Dislike","Like"
