Timestamp,Occupation,Age,Gender,State,image_5211,image_6948,image_6992,image_6894,image_5204,image_4526,image_5200
2021/03/22 11:57:59 PM GMT+5:30,Student,19,Female,Punjab,Dislike,Like,Dislike,Like,Like,Like,Like
2021/04/25 12:21:14 PM GMT+5:30,Working professional,43,Male,Maharashtra,Dislike,Like,Like,Like,Like,Like,Like
2021/04/25 6:31:52 PM GMT+5:30,Service,45 years,Female,Chandigarh,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike
2021/04/25 6:45:51 PM GMT+5:30,,,Female,,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:46:07 PM GMT+5:30,Studying,17,Female,Haryana,Dislike,Dislike,Like,Like,Like,Dislike,Like
2021/04/25 6:46:39 PM GMT+5:30,student ,18,Female,panchkula ,Dislike,Like,Dislike,Like,Dislike,,Like
2021/04/25 6:49:46 PM GMT+5:30,Student,17,Female,Manimajra Chandigarh,Dislike,Like,Like,Like,Like,Dislike,Like
2021/04/25 6:49:47 PM GMT+5:30,Service,55,Male,Punjab,,Like,Like,Like,Like,Like,Dislike
2021/04/25 6:52:02 PM GMT+5:30,,,,,Dislike,Like,Like,Like,Like,Like,Like
2021/04/25 6:52:59 PM GMT+5:30,Sameer Saini,20,Male,Uttar pardesh,Like,Like,Like,Like,Dislike,Like,Dislike
2021/04/25 6:53:20 PM GMT+5:30,,,Male,,Dislike,Like,Like,Like,Like,Like,Like
2021/04/25 6:55:34 PM GMT+5:30,Student ,16,Female,Punjab ,Dislike,Like,Dislike,Like,Like,Like,Like
2021/04/25 7:02:48 PM GMT+5:30,Student,17,Female,Haryana,Dislike,Dislike,Like,Like,Like,Like,Like
2021/04/25 7:04:17 PM GMT+5:30,,17,Male,,Like,Like,Like,Like,Dislike,Like,Like
2021/04/25 7:06:50 PM GMT+5:30,Student,18,Male,Chandigarh,Like,Dislike,Like,Dislike,Like,Like,Like
2021/04/25 7:23:41 PM GMT+5:30,Student,17,Female,Punjab,Like,Dislike,Like,Like,Like,Like,Dislike
