"Timestamp","Occupation","Age","Gender","State","image_1291","image_1296","image_1299","image_1302","image_1290","image_1314","image_1311"
"2021/03/22 1:55:58 PM GMT+5:30","student","16","Female","Chandigarh UT","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 2:12:00 PM GMT+5:30","student","15","Female","punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 2:13:39 PM GMT+5:30","Student ","16","Female","Punjab ","Like","Dislike","Like","Like","Like","Like","Like"
"2021/03/22 2:23:05 PM GMT+5:30","","","","","Like","Dislike","Like","Like","Like","",""
"2021/03/22 3:13:33 PM GMT+5:30","Student","17","Female","Punjab ","Like","Like","Like","Dislike","Like","Dislike","Dislike"
"2021/03/22 5:19:37 PM GMT+5:30","Student ","16","Female","Punjab ","Like","Like","Dislike","Like","Like","Like","Like"
"2021/03/22 7:05:35 PM GMT+5:30","Professional ","44","Female","Maharashtra ","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 7:19:10 PM GMT+5:30","Lawyer","35","Female","Panchkula","Like","Dislike","Like","Dislike","Dislike","Like","Like"
"2021/03/22 8:42:22 PM GMT+5:30","Optician","47","Male","Punjab","Like","Dislike","Like","Like","Like","Like","Like"
"2021/03/22 8:46:16 PM GMT+5:30","Business man","42","Male","Punjab","Dislike","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:56:28 PM GMT+5:30","School ","15","Female","","Like","","","","","","Like"
"2021/03/23 12:00:15 AM GMT+5:30","ningen","older than the multiverse","Male","good, cz this is the last form","Like","Like","Like","Like","Like","Dislike","Like"
"2021/03/23 12:02:58 AM GMT+5:30","Student","19","Female","Punjab","Dislike","Like","Like","Like","Dislike","Like","Like"
"2021/03/23 3:00:24 PM GMT+5:30","Student","23","Female","Punjab","Like","Dislike","Like","Like","Dislike","Like","Like"
"2021/03/23 3:32:27 PM GMT+5:30","Student ","16 ","Female","Mohali ","Like","Like","Like","Like","Dislike","Dislike","Like"
"2021/03/23 11:19:07 PM GMT+5:30","Student","20","Male","Punjab","Dislike","Like","Like","Dislike","Dislike","Dislike","Dislike"
"2021/03/25 11:05:08 AM GMT+5:30","Student ","17","Female","Punjab","Like","Dislike","Like","Like","Dislike","Like","Like"
