"Timestamp","Occupation","Age","Gender","State","image_2592","image_6806","image_6991","image_2743","image_6722","image_6921","image_6409"
"2021/03/22 11:59:05 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Dislike","Like","Like","Like","Like"
"2021/04/25 11:01:55 AM GMT+5:30","Musician","30","Male","Panjab","Like","Like","Dislike","Like","Dislike","Dislike","Like"
"2021/04/25 6:43:11 PM GMT+5:30","","","","","Like","Like","Dislike","Like","Like","Like","Dislike"
"2021/04/25 6:44:31 PM GMT+5:30","","","","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 6:45:01 PM GMT+5:30","Studying","17","Female","Haryana","Like","Like","Like","Like","Dislike","Dislike","Like"
"2021/04/25 6:45:20 PM GMT+5:30","student","18","Female","panchkula ","Like","Like","Like","Like","Dislike","Dislike","Dislike"
"2021/04/25 6:45:27 PM GMT+5:30","Students","17","Male","Haryana","Like","Like","Like","Like","Dislike","Dislike","Dislike"
"2021/04/25 6:45:54 PM GMT+5:30","Job","55","Male","Punjab","Like","Like","Like","Like","Dislike","Dislike","Dislike"
"2021/04/25 6:46:38 PM GMT+5:30","Student ","16","Female","Punjab","Like","Like","Dislike","Like","Like","Like","Dislike"
"2021/04/25 6:48:39 PM GMT+5:30","Working professional","43","Male","Maharashtra","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/04/25 6:48:58 PM GMT+5:30","Student","17","Female","Manimajra Chandigarh","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 6:50:54 PM GMT+5:30","","","","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 6:52:36 PM GMT+5:30","","","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 6:57:38 PM GMT+5:30","Student","17","Female","Haryana","Like","Like","Dislike","Like","Like","Like","Like"
"2021/04/25 7:02:24 PM GMT+5:30","Student","16","Male","Haryana","Dislike","Like","Like","Like","Like","Like","Like"
"2021/04/25 7:02:29 PM GMT+5:30","","17","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 7:09:37 PM GMT+5:30","Student","16","Male","Punjab","Dislike","Like","Like","Like","Like","Like","Dislike"
"2021/04/25 7:22:33 PM GMT+5:30","Student","17","Female","Punjab","Dislike","Like","Like","Like","Like","Dislike","Like"
"2021/04/25 7:23:51 PM GMT+5:30","Teaching","54","Female","Chandigarh","","Like","Like","Like","Like","Like","Like"
