"Timestamp","Occupation","Age","Gender","State","image_2503","image_21","image_31","image_98","image_316","image_162","image_2"
"2021/03/22 9:31:49 PM GMT+5:30","Student ","22","Female","Himachal ","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 9:32:43 PM GMT+5:30","Student","19","Male","Telangana","Like","Like","Dislike","Like","Like","Like","Like"
"2021/03/22 9:35:20 PM GMT+5:30","Student","18","Female","Punjab","Like","Like","Dislike","Like","Dislike","Like","Like"
"2021/03/22 9:38:06 PM GMT+5:30","Student","19","Female","Punjab","Like","Dislike","Dislike","Like","Dislike","Like","Like"
"2021/03/22 9:38:28 PM GMT+5:30","Student ","20","Male","Uttar Pradesh","Dislike","Like","Dislike","Like","Like","Like","Like"
"2021/03/22 9:56:28 PM GMT+5:30","Student","15","Male","Punjab","Like","Like","Like","Dislike","Like","Dislike","Like"
"2021/03/22 10:00:21 PM GMT+5:30","Student","16","Male","Punjab","Like","Like","Like","Like","Like","Dislike","Dislike"
"2021/03/22 10:11:05 PM GMT+5:30","Student","20","Female","Karnataka","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Like"
"2021/03/22 11:06:36 PM GMT+5:30","Business man ","45","Male","Punjab","Like","Like","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/03/22 11:15:43 PM GMT+5:30","Student","21","Male","Uttar Pradesh","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:50:07 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/03/23 12:03:49 PM GMT+5:30","homemaker","33","Female","punjab","Like","Dislike","Dislike","Like","Like","Like","Like"
