Timestamp,Occupation,Age,Gender,State,image_342,image_182,image_7,image_403,image_3843,image_3723,image_56
2021/03/22 1:43:52 PM GMT+5:30,Student,19,Male,Haryana,Dislike,Like,Like,Dislike,Like,Dislike,Like
2021/03/22 11:53:21 PM GMT+5:30,Student,19,Female,Punjab,Like,Like,Dislike,Like,Like,Like,Like
2021/04/24 11:36:57 PM GMT+5:30,student,22,Male,chandigarh,Like,Like,Like,Like,Like,Like,Like
2021/04/24 11:40:07 PM GMT+5:30,Student,22,Female,Punjab,Dislike,Like,Dislike,Like,Like,Dislike,Like
2021/04/25 10:51:47 AM GMT+5:30,Teacher,51,Male,Haryana ,Like,Like,Like,Like,Like,Like,Dislike
2021/04/25 6:42:18 PM GMT+5:30,,,,,Dislike,Like,Dislike,Dislike,Like,Like,Dislike
2021/04/25 6:43:06 PM GMT+5:30,,,,,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:43:28 PM GMT+5:30,student,18,Female,panchkula ,Dislike,Dislike,Dislike,Like,Like,Like,Dislike
2021/04/25 6:43:29 PM GMT+5:30,Studying,17,Female,Haryana,Dislike,Like,Dislike,Like,Like,Like,Dislike
2021/04/25 6:44:08 PM GMT+5:30,Student,17,Male,,Dislike,Like,Like,Like,Like,Like,Like
2021/04/25 6:44:26 PM GMT+5:30,,,Male,Chandigarh ,Dislike,Like,Like,Like,Like,Like,Dislike
2021/04/25 6:44:51 PM GMT+5:30,,,,,Like,Dislike,Like,Like,Like,Like,Dislike
2021/04/25 6:45:22 PM GMT+5:30,Student ,16,Female,Punjab,Dislike,Like,Like,Dislike,Like,Like,Like
2021/04/25 6:45:45 PM GMT+5:30,Working professional,43,Male,Maharashtra,Dislike,Like,Like,Like,Like,Like,Dislike
2021/04/25 6:47:49 PM GMT+5:30,Student,17,Female,Manimajra Chandigarh,Dislike,Like,Like,Like,Dislike,Like,Dislike
2021/04/25 6:48:05 PM GMT+5:30,Service,55,Male,Punjab,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:48:24 PM GMT+5:30,,,Male,,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike
2021/04/25 6:51:51 PM GMT+5:30,,,Male,,Like,Like,Like,Dislike,Like,Like,Like
2021/04/25 6:53:29 PM GMT+5:30,Student,17,Female,Haryana,Dislike,Like,Like,Dislike,Like,Dislike,Like
2021/04/25 6:59:07 PM GMT+5:30,,17,Male,,Dislike,Like,Like,Like,Like,Like,Like
2021/04/25 7:02:38 PM GMT+5:30,,16,Female,Haryana,Dislike,Like,Like,Dislike,Like,Like,Like
2021/04/25 7:03:19 PM GMT+5:30,Service,45 years,Female,Chandigarh,Like,Like,Dislike,Dislike,Dislike,Like,Dislike
2021/04/25 7:06:43 PM GMT+5:30,Student,16,Male,Punjab,Dislike,Like,Like,Like,Like,Like,Dislike
2021/04/25 7:11:02 PM GMT+5:30,Student,16,Female,Chandigarh,Dislike,Like,Like,Dislike,Like,Like,Like
