"Timestamp","Occupation","Age","Gender","State","image_4","image_2516","image_174","image_462","image_161","image_324","image_1219"
"2021/03/22 9:33:34 PM GMT+5:30","Student","19","Male","Telangana","Like","Dislike","Dislike","Dislike","Like","Dislike","Like"
"2021/03/22 9:36:02 PM GMT+5:30","Student","18","Female","Punjab","Dislike","Dislike","Like","Like","Dislike","Dislike","Like"
"2021/03/22 9:39:25 PM GMT+5:30","Student","20","Male","Uttar Pradesh","Like","Like","Like","Like","Like","Like","Dislike"
"2021/03/22 9:41:13 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 9:58:21 PM GMT+5:30","Student","15","Male","Punjab","Like","Like","Like","Like","Dislike","Like","Like"
"2021/03/22 10:01:26 PM GMT+5:30","Student","16","Male","Punjab","Like","Like","Like","Dislike","Dislike","Dislike","Like"
"2021/03/22 10:09:53 PM GMT+5:30","Student ","20","Female","Punjab","Dislike","Dislike","Like","Like","Like","Like","Like"
"2021/03/22 11:05:49 PM GMT+5:30","Business man","45","Male","Punjab","Dislike","Like","Like","Dislike","Dislike","Dislike","Like"
"2021/03/22 11:16:19 PM GMT+5:30","Student","21","","Uttar Pradesh","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:49:20 PM GMT+5:30","Student","19","Female","Punjab","Dislike","Like","Like","Dislike","Dislike","Dislike","Dislike"
"2021/03/23 12:04:29 PM GMT+5:30","homemaker","33","Female","punjab","Like","Like","Like","Like","Dislike","Dislike","Dislike"
