"Timestamp","Occupation","Age","Gender","State","image_5850","image_708","image_4617","image_6405","image_6587","image_6262","image_5951"
"2021/03/22 11:57:03 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Like","Dislike","Like","Dislike"
"2021/04/05 4:30:47 PM GMT+5:30","Student","23","Female","Punjab","Dislike","Dislike","Like","Dislike","Like","Like","Like"
"2021/04/05 9:18:29 PM GMT+5:30","Student","22","Female","PUNJAB","Dislike","Dislike","Like","Dislike","Dislike","Like","Like"
"2021/04/05 9:19:49 PM GMT+5:30","Student ","22","Female","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/04/05 9:32:48 PM GMT+5:30","student","21","Female","Punjab ","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like"
"2021/04/05 10:16:25 PM GMT+5:30","Student","21","Female","Punjab","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like"
"2021/04/25 7:42:03 PM GMT+5:30","Student","22","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 8:04:49 PM GMT+5:30","Student","20","Female","Uttar Pradesh","Like","Like","Like","Dislike","Like","Dislike","Like"
"2021/04/25 8:52:35 PM GMT+5:30","Student","20","Male","Uttar pardesh","","","","","Like","","Like"
"2021/04/25 9:03:07 PM GMT+5:30","Student ","21","Male","","Like","Like","Like","Dislike","Dislike","Like","Like"
"2021/04/25 9:06:59 PM GMT+5:30","Student","19","Male","H.p","Like","Dislike","Like","Dislike","Dislike","Dislike","Like"
"2021/04/25 9:09:41 PM GMT+5:30","Student","19","Female","Haryana","Like","Dislike","Like","Dislike","Dislike","Dislike","Like"
"2021/04/25 9:15:48 PM GMT+5:30","Student","19","Male","Telangana","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 9:43:58 PM GMT+5:30","Student","19","Female","Himachal","Dislike","Like","Like","Like","Dislike","Like","Like"
"2021/04/25 9:46:23 PM GMT+5:30","student","19","Male","","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/04/25 10:12:12 PM GMT+5:30","Student ","18","Male","Haryana ","Dislike","Like","Like","Like","Like","Like","Dislike"
"2021/04/25 10:47:16 PM GMT+5:30","Student","19","Male","Uttarakhand","Dislike","Dislike","Dislike","Dislike","Like","Like","Like"
