"Timestamp","Occupation","Age","Gender","State","image_1342","image_1306","image_1352","image_6986","image_4967","image_4977","image_5659"
"2021/03/22 1:57:09 PM GMT+5:30","Student","16","Female","Chandigarh UT","Like","Like","Like","Dislike","Like","Like","Dislike"
"2021/03/22 2:13:40 PM GMT+5:30","student","15","Female","punjab","Dislike","Like","Like","Like","Dislike","Like","Like"
"2021/03/22 2:14:59 PM GMT+5:30","Student ","16","Female","Punjab ","Like","Like","Like","Like","Like","Like","Dislike"
"2021/03/22 3:15:47 PM GMT+5:30","Student","17","Female","Punjab","Like","Like","Like","Dislike","Dislike","Like","Dislike"
"2021/03/22 5:21:28 PM GMT+5:30","Student ","16","Female","Punjab ","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/03/22 7:03:41 PM GMT+5:30","Professional ","44","Female","Maharashtra ","Like","Like","Dislike","Dislike","Dislike","Dislike","Like"
"2021/03/22 7:21:25 PM GMT+5:30","Doctor","45","Male","Mohali","Like","Like","Dislike","Like","Dislike","Like","Like"
"2021/03/22 8:45:17 PM GMT+5:30","Student","10","Male","Punjab ","Like","Like","Like","Dislike","Like","Like","Like"
"2021/03/22 10:58:13 PM GMT+5:30","School ","15","Female","Your answer","Like","","","Like","","",""
"2021/03/22 11:56:59 PM GMT+5:30","homosapien","Older than the universe","Male","better","Like","Like","Like","Dislike","Like","Dislike","Dislike"
"2021/03/23 12:03:54 AM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Like","Like","Like","Dislike"
"2021/03/23 3:42:07 PM GMT+5:30","Student ","16","Female","","Like","Like","Like","","Like","Like","Dislike"
"2021/03/23 6:15:49 PM GMT+5:30","Service","48","Female","Ut","Like","Dislike","Dislike","Dislike","Dislike","Dislike",""
"2021/03/25 12:04:05 PM GMT+5:30","Student","17","Male","Punjab","Like","Like","Dislike","Like","Like","Like","Dislike"
