"Timestamp","Occupation","Age","Gender","State","image_5137","image_4562","image_4910","image_4906","image_5780","image_4870","image_6161"
"2021/03/22 8:22:50 PM GMT+5:30","Student","16","Male","Punjab","Dislike","Like","Like","Like","Like","Dislike","Like"
"2021/03/22 8:31:02 PM GMT+5:30","Student","19","Female","Haryana","Like","Like","Dislike","Dislike","Dislike","Dislike","Like"
"2021/03/22 8:31:31 PM GMT+5:30","Student","20","Male","uttar pradesh","Dislike","Like","Dislike","Like","Like","Like","Dislike"
"2021/03/22 8:33:21 PM GMT+5:30","Student","16","Female","Punjab","Dislike","Like","Like","Like","Dislike","Like","Like"
"2021/03/22 8:33:40 PM GMT+5:30","Student","19","Male","Delhi","Dislike","Dislike","Like","Like","Dislike","Like","Like"
"2021/03/22 8:55:17 PM GMT+5:30","Housemaker","42","Female","Punjab ","Dislike","Like","Like","Like","Dislike","Like","Dislike"
"2021/03/22 9:44:38 PM GMT+5:30","Student","15","Male","Punjab","Like","Like","Like","Like","Dislike","Dislike","Like"
"2021/03/22 9:45:56 PM GMT+5:30","Business man","39","Male","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:41:19 PM GMT+5:30","","20","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:55:03 PM GMT+5:30","Student","19","Female","Punjab","Dislike","Like","Like","Dislike","Dislike","Like","Dislike"
