"Timestamp","Occupation","Age","Gender","State","image_1769","image_2488","image_2495","image_2498","image_2621","image_2577","image_12"
"2021/03/22 9:31:02 PM GMT+5:30","Student ","22 ","Female","Himachal pradesh ","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 9:31:25 PM GMT+5:30","Student","19","Male","Telangana","Dislike","Like","Like","Like","Like","Like","Dislike"
"2021/03/22 9:34:22 PM GMT+5:30","Student","18","Female","Punjab","Like","Like","Dislike","Like","Like","Like","Like"
"2021/03/22 9:37:11 PM GMT+5:30","Student","20","Male","Uttar Pradesh","Dislike","Like","Like","Like","Dislike","Dislike","Like"
"2021/03/22 9:39:54 PM GMT+5:30","Student","19","Female","Punjab","Dislike","Like","Like","Like","Like","Like","Like"
"2021/03/22 9:59:33 PM GMT+5:30","Student","16","Male","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:01:14 PM GMT+5:30","Student","15","Male","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:12:07 PM GMT+5:30","Student ","19","Female","Karnataka ","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Dislike"
"2021/03/22 11:05:00 PM GMT+5:30","Business man","45","Male","Punjab ","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:14:56 PM GMT+5:30","Student","21","Male","Uttar Pradesh","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:50:49 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Like","Like","Like","Dislike"
"2021/03/23 12:03:05 PM GMT+5:30","homemaker","33","Female","punjab","Dislike","Like","Dislike","Like","Like","Like","Dislike"
