"Timestamp","Occupation","Age","Gender","State","image_5195","image_4602","image_6176","image_6719","image_5594","image_6547","image_5857"
"2021/03/22 8:26:12 PM GMT+5:30","Student","16","Male","Punjab","Like","Like","Like","Dislike","Dislike","Like","Dislike"
"2021/03/22 8:35:24 PM GMT+5:30","student","20","Male","uttar pradesh","Dislike","Like","Dislike","Dislike","Like","Like","Like"
"2021/03/22 8:36:03 PM GMT+5:30","Student","16","Female","Punjab","Dislike","Dislike","Dislike","Dislike","Like","Like","Dislike"
"2021/03/22 8:37:06 PM GMT+5:30","Student","19","Male","Delhi","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/03/22 8:45:18 PM GMT+5:30","Student","19","Female","Haryana","Dislike","Dislike","Like","Dislike","Dislike","Like","Dislike"
"2021/03/22 8:59:15 PM GMT+5:30","Housemaker ","42","Female","Punjab ","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/03/22 9:54:03 PM GMT+5:30","Student","15","Male","Punjab","Like","Dislike","Like","Dislike","Like","Dislike","Dislike"
"2021/03/22 9:57:35 PM GMT+5:30","","","","","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:42:47 PM GMT+5:30","","","","","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:56:04 PM GMT+5:30","Student","19","Female","Punjab","Dislike","Like","Like","Dislike","Dislike","","Dislike"
