"Timestamp","Occupation","Age","Gender","State","image_3461","image_3474","image_45","image_175","image_163","image_200","image_319"
"2021/03/21 5:17:30 PM GMT+5:30","student","23","Male","Chandigarh","Like","Like","Like","Like","","Like","Dislike"
"2021/03/22 1:44:51 PM GMT+5:30","Teaching","47","Male","West Bengal","Like","Like","Like","Dislike","Like","Like","Like"
"2021/03/22 1:45:37 PM GMT+5:30","Student","19","Male","Haryana","Like","Like","Like","Dislike","Like","Like","Like"
"2021/03/22 11:53:55 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Like","Like","Like","Dislike"
"2021/04/25 7:44:00 PM GMT+5:30","Student","22","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 9:04:36 PM GMT+5:30","","21","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 9:10:44 PM GMT+5:30","Student","19","Female","Haryana","Like","","Like","Like","Like","Like","Dislike"
"2021/04/25 9:43:58 PM GMT+5:30","student","19","Male","uttar pradesh","Dislike","Like","Dislike","Dislike","Dislike","Dislike","Like"
"2021/04/25 9:44:50 PM GMT+5:30","Student","19","Female","Himachal Pradesh","Like","Like","Like","Like","Like","Like","Dislike"
"2021/04/25 10:10:20 PM GMT+5:30","","","","","","Like","Like","Dislike","Like","Like","Like"
"2021/04/25 10:14:20 PM GMT+5:30","Student ","18","Male","Haryana ","Like","Like","Like","Like","Like","Like","Like"
"2021/04/25 10:48:37 PM GMT+5:30","Student","19","Male","Uttarakhand","Dislike","Dislike","Like","Like","Dislike","Like","Like"
