"Timestamp","Occupation","Age","Gender","State","image_3604","image_3494","image_3492","image_4188","image_3808","image_5012","image_5762"
"2021/03/22 8:21:14 PM GMT+5:30","Student","16","Male","Punjab","Like","Like","Like","Like","Like","Dislike","Like"
"2021/03/22 8:33:11 PM GMT+5:30","student","20","Male","uttar pradesh","Like","Like","Like","Dislike","Like","Like","Like"
"2021/03/22 8:34:27 PM GMT+5:30","Student","16","Female","Punjab","Like","Like","Like","Dislike","Dislike","Dislike","Like"
"2021/03/22 8:35:08 PM GMT+5:30","Student","19","Male","Delhi","Like","Like","Dislike","Dislike","Dislike","Dislike","Like"
"2021/03/22 8:38:05 PM GMT+5:30","Student","19","Female","Haryana","Like","Like","Like","Like","Dislike","Like","Like"
"2021/03/22 8:52:29 PM GMT+5:30","Housemaker ","42","Female","Punjab ","Like","Dislike","Like","Dislike","Dislike","Like","Dislike"
"2021/03/22 9:02:28 PM GMT+5:30","Service","47","Male","West Bengal","Like","Dislike","Like","Like","Like","Dislike","Dislike"
"2021/03/22 9:47:56 PM GMT+5:30","Student","15","Male","Punjab","Like","Like","Like","Dislike","Dislike","Like","Like"
"2021/03/22 9:49:59 PM GMT+5:30","Business man","39","Male","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:40:25 PM GMT+5:30","","20","Male","Punjab","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:54:29 PM GMT+5:30","Student","19","Female","Punjab","Like","Like","Like","Dislike","Dislike","Like","Like"
