"Timestamp","Occupation","Age","Gender","State","image_1323","image_299","image_6893","image_5576","image_6414","image_4881","image_5289"
"2021/03/22 8:24:22 PM GMT+5:30","Student","16","Male","Punjab","Like","Dislike","Like","Dislike","Like","Like","Like"
"2021/03/22 8:34:18 PM GMT+5:30","student","20","Male","uttar pradesh","Dislike","Dislike","Dislike","Like","Dislike","Like","Like"
"2021/03/22 8:35:14 PM GMT+5:30","Student","16","Female","Punjab","Dislike","Dislike","Like","Dislike","Like","Like","Like"
"2021/03/22 8:36:12 PM GMT+5:30","Student","19","Male","Delhi","Dislike","Dislike","Dislike","Like","Dislike","Like","Dislike"
"2021/03/22 8:40:36 PM GMT+5:30","Student","19","Female","Haryana","Dislike","Dislike","Dislike","Like","Dislike","Like","Like"
"2021/03/22 8:57:38 PM GMT+5:30","Housemaker ","42","Female","Punjab ","Dislike","Dislike","Dislike","Like","Dislike","Like","Like"
"2021/03/22 9:51:49 PM GMT+5:30","Student","15","Male","Punjab","Dislike","Dislike","Dislike","Like","Like","Like","Like"
"2021/03/22 9:55:33 PM GMT+5:30","Business man","39","Male","Punjan","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 10:42:14 PM GMT+5:30","","20","Male","","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 11:55:33 PM GMT+5:30","Student","19","Female","Punjab","Like","Dislike","Dislike","Like","Dislike","Like","Like"
